fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.67,0.689,0.264,5.76,0.099,18.9,73.1,0.99593,3.18,0.923,10.88,6
7.69,0.481,0.323,1.02,0.105,27.8,68.2,0.99466,3.21,0.772,10.36,6
4.96,0.677,0.486,0.5,0.049,29.0,95.0,0.99404,3.22,0.624,11.75,6
7.18,0.333,0.261,0.8,0.066,44.5,95.6,0.99849,3.18,0.825,11.86,6
7.11,1.051,0.15,0.81,0.064,15.0,91.9,0.99726,3.26,0.531,9.46,4
6.81,0.609,0.25,1.26,0.095,52.8,101.5,0.99489,3.48,0.385,10.47,5
7.19,0.376,0.102,0.95,0.094,21.7,106.2,0.99595,3.05,0.6,8.8,4
7.01,0.523,0.072,6.47,0.082,44.3,94.2,0.99431,3.46,0.541,11.26,6
6.53,0.353,0.082,1.8,0.029,27.0,88.5,0.99727,3.17,0.609,9.8,5
7.32,0.726,0.496,1.07,0.065,21.7,84.9,0.9934,3.45,0.467,10.72,5
7.46,0.35,0.081,1.65,0.128,29.0,83.3,0.99515,3.33,0.42,9.86,5
8.4,0.558,0.225,5.25,0.088,17.9,95.6,0.9966,3.07,0.751,11.87,6
8.15,0.467,0.28,2.21,0.074,29.3,97.6,0.99838,3.35,0.706,9.36,5
8.49,0.382,0.186,0.5,0.07,10.0,63.2,0.99701,3.26,0.543,11.42,6
